log2FoldChange	padj	cond1	cond2	gene	lab	type	sig	direction	tissue	group	TF	TFcofactor	EpiGene	Family	sex
0.884904906	2.68E-10	TCDD_Female_adult	Ctrl_Female_adult	Gfi1	Aylor	Aylor_TCDD	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	TRUE	zf-C2H2	Female
0.662214459	0.00019048	TCDD_Female_adult	Ctrl_Female_adult	Prdm1	Aylor	Aylor_TCDD	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	TRUE	zf-C2H2	Female
0.914891208	3.32E-06	TCDD_Female_adult	Ctrl_Female_adult	Tshz3	Aylor	Aylor_TCDD	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.021172401	0.000314709	TCDD_Female_adult	Ctrl_Female_adult	Zfp580	Aylor	Aylor_TCDD	TRUE	down	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
2.519613092	8.10E-17	TCDD_Female_adult	Ctrl_Female_adult	Zfp683	Aylor	Aylor_TCDD	TRUE	up	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.608896515	0.000463935	TCDD_Female_adult	Ctrl_Female_adult	Zfp867	Aylor	Aylor_TCDD	TRUE	down	blood	Aylor_TCDD_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.720879983	9.74E-13	BPA10mg_Female_adult	Ctrl_Female_adult	2610021A01Rik	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.903464783	7.34E-07	BPA10mg_Female_adult	Ctrl_Female_adult	4930522L14Rik	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.886796114	4.71E-09	BPA10mg_Female_adult	Ctrl_Female_adult	A430033K04Rik	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.822679295	0.000196459	BPA10mg_Female_adult	Ctrl_Female_adult	AU041133	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.608500528	0.000138325	BPA10mg_Female_adult	Ctrl_Female_adult	Gfi1	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	zf-C2H2	Female
-0.954676894	0.000149026	BPA10mg_Female_adult	Ctrl_Female_adult	Gfi1b	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	zf-C2H2	Female
-0.706727499	6.56E-05	BPA10mg_Female_adult	Ctrl_Female_adult	Gm14325	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.76222271	7.76E-06	BPA10mg_Female_adult	Ctrl_Female_adult	Gm14326	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.273191612	4.79E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Gm17655	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.930621594	3.34E-05	BPA10mg_Female_adult	Ctrl_Female_adult	Gm28557	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.053113436	0.000343304	BPA10mg_Female_adult	Ctrl_Female_adult	Gm3604	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.846756081	3.91E-12	BPA10mg_Female_adult	Ctrl_Female_adult	Hivep1	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.830443172	1.55E-26	BPA10mg_Female_adult	Ctrl_Female_adult	Klf2	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.624630648	2.05E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Klf4	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.650228782	7.75E-16	BPA10mg_Female_adult	Ctrl_Female_adult	Mbtps2	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.827361287	1.21E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Prdm1	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	TRUE	zf-C2H2	Female
-0.682942547	1.01E-16	BPA10mg_Female_adult	Ctrl_Female_adult	Sp3	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.753464151	7.65E-10	BPA10mg_Female_adult	Ctrl_Female_adult	Sp4	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.79101416	0.000620601	BPA10mg_Female_adult	Ctrl_Female_adult	Tshz3	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.844252305	1.45E-12	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp101	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.742135249	0.000263675	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp109	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.96071072	3.13E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp119b	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.65834898	1.33E-09	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp169	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.711340836	3.43E-05	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp202	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.689800101	6.74E-16	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp236	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.645678081	9.04E-12	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp275	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.921372862	3.11E-14	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp39	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.665617171	7.18E-14	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp444	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.034963439	5.52E-11	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp456	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.792146158	2.31E-08	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp507	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.803105202	5.92E-16	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp51	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.791804303	2.16E-08	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp524	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.876673269	4.65E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp526	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.812906653	2.64E-08	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp54	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.896547297	0.000216615	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp580	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.69303353	3.74E-10	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp597	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.803411638	1.20E-14	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp606	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.961697473	1.97E-06	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp619	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.754932713	1.51E-17	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp62	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.598404545	3.11E-08	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp653	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.089911925	5.57E-25	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp654	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.29375428	3.01E-15	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp664	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.028941576	7.41E-09	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp677	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.798180299	2.13E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp683	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.625184714	7.38E-13	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp688	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.913762181	2.71E-11	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp712	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.928221689	2.87E-17	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp715	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.735951061	4.09E-21	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp729a	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.587211387	0.000611336	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp74	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.594684693	1.40E-15	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp748	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.84071732	1.32E-10	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp758	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.654970742	3.51E-08	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp760	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.829637114	1.38E-06	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp771	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.618004642	3.31E-06	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp790	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.652232364	7.36E-14	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp800	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
2.202564168	4.87E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp811	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.891724043	2.22E-08	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp850	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.674572838	7.81E-13	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp869	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.77834055	6.08E-13	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp874a	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.988162851	8.40E-09	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp951	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.631485356	0.000103153	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp97	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.229258094	3.02E-14	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp971	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
0.881475817	7.03E-06	BPA10mg_Female_adult	Ctrl_Female_adult	Zfp991	Bartolomei	Bartolomei_BPA10mg	TRUE	up	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.606300635	2.31E-07	BPA10mg_Female_adult	Ctrl_Female_adult	Zkscan8	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-0.653761693	1.70E-05	BPA10mg_Female_adult	Ctrl_Female_adult	Zxdb	Bartolomei	Bartolomei_BPA10mg	TRUE	down	blood	Bartolomei_BPA10mg_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
-1.597293016	3.95E-10	BPA10ug_Female_adult	Ctrl_Female_adult	Gfi1b	Bartolomei	Bartolomei_BPA10ug	TRUE	down	blood	Bartolomei_BPA10ug_Female_adult	TRUE	FALSE	TRUE	zf-C2H2	Female
0.659559082	6.53E-05	BPA10ug_Female_adult	Ctrl_Female_adult	Klf8	Bartolomei	Bartolomei_BPA10ug	TRUE	up	blood	Bartolomei_BPA10ug_Female_adult	TRUE	FALSE	FALSE	zf-C2H2	Female
