As_blood	As_liver	DEHP_blood	DEHP_liver	Lead_blood	Lead_liver	LOW_blood	LOW_liver	PM25_blood	PM25_liver	TBT_blood	TBT_liver	TCDD_blood	TCDD_liver	UP_blood	UP_liver	Type
chr4,16894600,16894800	0.12461648	0.10297041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	As
chrX,169987200,169987400	0.143900767	0.132923663	0	0	0	0	0	-0.103008022	0	0	0.123293273	0	0	0	0	0	As
chr17,65940400,65940600	0	0	0.145362034	0.131941106	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr10,43667200,43667600	0	0	-0.233085066	-0.100447388	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr5,92393200,92393400	0	0	-0.10437778	-0.107324254	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr4,127008400,127008600	0	0	0	0	-0.121979389	-0.280082167	0	0	0	0	0	0	0	0	0	0	Lead
chr4,134160000,134160400	0	0	0	0	0.412919221	0.219778756	0	0	0	0	0	0	0	0	0	0	Lead
chr11,12026400,12026600	0	0	0	0	0.103288977	0.144620884	0	0	0	0	0	0	0	0	0	0	Lead
chr9,103108600,103109000	0	0	0	0	0.219160086	0.2642596	0	0	0	0	0	0	0	0	0	0	Lead
chr10,84955200,84955400	0	0	0	0	0	0	0.188208361	0.139852138	0	-0.118794945	-0.247227472	-0.270455862	0	0	0	0	LOW
chr2,19199200,19199600	0	0	0	0	0	0	0.229662318	0.11170713	0	0	0	0	0	0	0	0	LOW
chr18,11255400,11255600	0	0	0	0	0	0	0.158162714	0.118976216	0	0	0	0	0	0	0	0	LOW
chr8,122865000,122865200	0	0	0	0	0	0	0.114836784	0.119377554	0	0	0	0	0	0	0	0	LOW
chr16,58482000,58482200	0	0	0	0	0	0	0.100809875	-0.10034305	0	0	0	-0.112048258	0	0	0	0	LOW
chr3,116196000,116196200	0	0	0	0	0	0	-0.119517315	-0.187809556	0	0	0	0	0	0	0	0	LOW
chr18,82535200,82535400	0	0	0	0	0	0	-0.105766892	-0.100186788	0	0	0	0	0	0	0	0	LOW
chr4,103792800,103793000	0	0	0	0	0	0	-0.132731843	-0.102207607	0	0	0	0	0	0	0	0	LOW
chr15,11213400,11213600	0	0	0	0	0	0	-0.156897991	-0.161692573	0	0.105301136	0	0	-0.232014826	-0.173976614	0	-0.107828989	LOW
chr13,4942600,4943200	0	0	0	0	0	0	-0.416078986	-0.111526337	0	0	0	0	0	0	0	0	LOW
chr3,60495000,60495400	0	0	0	0	0	0	-0.310678809	-0.206814656	0	0	0	0	0	0	0	0	LOW
chrX,169979200,169979400	0	0	0	0	0	0	0	0	0.125067405	0.386924929	0.106161352	0	0	0	0.121044243	0	PM25
chrY,90799200,90799400	0	0	0	0	0	0	0	0	0.106966862	0.290921277	0	0	0	0	0	0	PM25
chrY,90805000,90805200	0	0	0	0	0	0	0	0	0.10746496	0.217014882	0	0	0	0	0.106048656	0	PM25
chr1,117957600,117957800	0	0	0	0	0	0	0	0	-0.143570139	0.135881067	0	0	0	0	0	-0.221309683	PM25
chr12,10057600,10057800	0	0	0	0	0	0	0	-0.203574838	-0.102341944	0.115262495	0	0	0	0.117454495	0	-0.172808116	PM25
chr15,18666000,18666200	0	0	0	0	0	0	0	-0.163112957	-0.111779716	0.112058376	0	0	0	0	0	-0.180164791	PM25
chrX,143472600,143472800	0	0	0	0	0	0	0	-0.200161438	-0.172020367	0.158289418	0	0	0	0	0	-0.190220471	PM25
chr19,37237600,37238400	0	0	0	0	0	0	0	0	-0.768639468	-0.502482668	0	0	0	0	0	0	PM25
chr19,36919800,36920000	0	0	0	0	0	0	0	0	-0.190012543	-0.60727113	0	0	0	0	0	0	PM25
chr19,36919200,36919600	0	0	0	0	0	0	0	0	-0.342714207	-0.60727113	0	0	0	0	0	0	PM25
chrX,169986800,169987400	0	0	0	0	0	0	0	0	-0.345754003	-0.460323902	0	0	0	0	0	0	PM25
chr19,3083400,3083600	0	0	0.196790114	0	0.135725614	0	0	0	-0.181858883	-0.287029601	0	0	0	0.133976037	0	0	PM25
chr12,19724600,19724800	0	0	0	0	0	0	0	0	-0.247240732	-0.235734045	0	0	0	0	0	0	PM25
chr1,165816600,165816800	0	0	0	0	0	0	0	0	-0.169235167	-0.122485189	0	0	0	0	0	0	PM25
chr7,132372400,132372600	0	0	0	0	0	0	0	0	-0.149852405	-0.121898895	0	0	0	0	0	0	PM25
chr12,52851200,52851400	0	0	0	0	0	0	0	0	-0.193657194	-0.141678417	0	0	0	0	0	0	PM25
chr3,67354400,67354600	0	0	0	0	0	0	0	0	-0.207144907	-0.100008995	0	0	0	0	0	0	PM25
chr4,134160200,134160400	0	0	0	0	0	0	0	-0.146659515	-0.186950799	0	0.136470328	0.266830526	0.229620941	0.128022276	0	0	TBT
chr18,64895000,64895200	0	0	0	0	0	0	0	0	0	0	0.103869511	0.105129564	0	0	0.134606053	0.107348203	TBT
