Female	Female_direct	name	type	Male	Male_direct	feature	tissue
-0.666182308	down	Cacna1d	Aylor_TCDD	0.741621804	up	DEG	Blood_adult
0.776779674	up	Cchcr1	Aylor_TCDD	-0.672111229	down	DEG	Blood_adult
0.745346513	up	Csf1	Aylor_TCDD	-0.936155045	down	DEG	Blood_adult
0.692974083	up	Fgl2	Aylor_TCDD	-0.646636738	down	DEG	Blood_adult
-0.666819781	down	Gm16845	Aylor_TCDD	0.737210409	up	DEG	Blood_adult
0.698934959	up	Oas2	Aylor_TCDD	-0.637754746	down	DEG	Blood_adult
-0.999301863	down	1190002N15Rik	Bartolomei_BPA10mg	0.641365349	up	DEG	Blood_adult
0.750219725	up	1700021F05Rik	Bartolomei_BPA10mg	0.674336435	up	DEG	Blood_adult
0.68674077	up	1810022K09Rik	Bartolomei_BPA10mg	0.982491634	up	DEG	Blood_adult
1.180729665	up	2010309G21Rik	Bartolomei_BPA10mg	0.936265905	up	DEG	Blood_adult
0.929296506	up	2310033P09Rik	Bartolomei_BPA10mg	0.781118111	up	DEG	Blood_adult
1.023933825	up	2410006H16Rik	Bartolomei_BPA10mg	0.61500029	up	DEG	Blood_adult
-1.800579518	down	2700046A07Rik	Bartolomei_BPA10mg	-0.935105463	down	DEG	Blood_adult
-3.83212987	down	4930598N05Rik	Bartolomei_BPA10mg	-1.104215779	down	DEG	Blood_adult
-2.182685266	down	6330403L08Rik	Bartolomei_BPA10mg	-0.949079329	down	DEG	Blood_adult
1.151957694	up	6330418K02Rik	Bartolomei_BPA10mg	-0.739065321	down	DEG	Blood_adult
0.65230298	up	9430038I01Rik	Bartolomei_BPA10mg	0.877876275	up	DEG	Blood_adult
1.40864315	up	A130071D04Rik	Bartolomei_BPA10mg	1.912617919	up	DEG	Blood_adult
-2.801854016	down	AC132455.1	Bartolomei_BPA10mg	-0.94589728	down	DEG	Blood_adult
-2.838884103	down	AC151410.1	Bartolomei_BPA10mg	-0.940771981	down	DEG	Blood_adult
-2.456588166	down	Acer2	Bartolomei_BPA10mg	-0.746171841	down	DEG	Blood_adult
-1.467228213	down	Adcy6	Bartolomei_BPA10mg	-0.828039607	down	DEG	Blood_adult
-2.023616142	down	Adcy9	Bartolomei_BPA10mg	-1.309405756	down	DEG	Blood_adult
-1.361496394	down	Afap1l1	Bartolomei_BPA10mg	-1.135076865	down	DEG	Blood_adult
0.671063113	up	Ak6	Bartolomei_BPA10mg	0.792245073	up	DEG	Blood_adult
0.59407787	up	Akr1a1	Bartolomei_BPA10mg	0.639064612	up	DEG	Blood_adult
-1.148629904	down	Aoah	Bartolomei_BPA10mg	0.606661235	up	DEG	Blood_adult
-2.389372051	down	Apcdd1	Bartolomei_BPA10mg	-0.965049101	down	DEG	Blood_adult
1.734904207	up	Apoe	Bartolomei_BPA10mg	0.75937629	up	DEG	Blood_adult
0.915806644	up	Arl2	Bartolomei_BPA10mg	0.593687281	up	DEG	Blood_adult
1.500111886	up	Armc3	Bartolomei_BPA10mg	0.950636822	up	DEG	Blood_adult
-0.897124859	down	Arrb1	Bartolomei_BPA10mg	-0.618615801	down	DEG	Blood_adult
-1.188160541	down	Art2b	Bartolomei_BPA10mg	-1.114140986	down	DEG	Blood_adult
-0.995123939	down	Asb1	Bartolomei_BPA10mg	-0.619504513	down	DEG	Blood_adult
-0.785155891	down	Atg9a	Bartolomei_BPA10mg	-0.723998184	down	DEG	Blood_adult
-1.297091873	down	Atrn	Bartolomei_BPA10mg	-0.811445852	down	DEG	Blood_adult
-0.956074712	down	B2m	Bartolomei_BPA10mg	0.64640219	up	DEG	Blood_adult
1.514801279	up	Bc1	Bartolomei_BPA10mg	1.656502577	up	DEG	Blood_adult
0.808087953	up	Bcl2a1b	Bartolomei_BPA10mg	0.827313859	up	DEG	Blood_adult
-0.644055189	down	Carm1	Bartolomei_BPA10mg	-0.679799175	down	DEG	Blood_adult
-2.727000346	down	Cc2d2b	Bartolomei_BPA10mg	-1.037742667	down	DEG	Blood_adult
0.764835366	up	Ccdc191	Bartolomei_BPA10mg	0.719264296	up	DEG	Blood_adult
1.061663207	up	Cchcr1	Bartolomei_BPA10mg	-0.949121439	down	DEG	Blood_adult
0.94311734	up	Ccl6	Bartolomei_BPA10mg	0.791439613	up	DEG	Blood_adult
-2.709512501	down	Cd226	Bartolomei_BPA10mg	-0.773460116	down	DEG	Blood_adult
0.985987313	up	Cd302	Bartolomei_BPA10mg	0.753890703	up	DEG	Blood_adult
1.141698056	up	Cd3eap	Bartolomei_BPA10mg	0.686086352	up	DEG	Blood_adult
-1.655982713	down	Cdh23	Bartolomei_BPA10mg	-0.826737273	down	DEG	Blood_adult
1.089870109	up	Cdkn1a	Bartolomei_BPA10mg	0.623914059	up	DEG	Blood_adult
0.81615023	up	Cebpb	Bartolomei_BPA10mg	0.912409025	up	DEG	Blood_adult
0.983822459	up	Cebpzos	Bartolomei_BPA10mg	0.800369544	up	DEG	Blood_adult
-1.240704143	down	Chrm3	Bartolomei_BPA10mg	-1.022530801	down	DEG	Blood_adult
-1.295302013	down	Clip2	Bartolomei_BPA10mg	-0.704534996	down	DEG	Blood_adult
1.169443972	up	Cma1	Bartolomei_BPA10mg	0.951364538	up	DEG	Blood_adult
1.022615706	up	Coq7	Bartolomei_BPA10mg	0.75550205	up	DEG	Blood_adult
-1.931049809	down	Cpe	Bartolomei_BPA10mg	-0.914091717	down	DEG	Blood_adult
2.135624968	up	Crip1	Bartolomei_BPA10mg	0.647623371	up	DEG	Blood_adult
1.493241228	up	Cryl1	Bartolomei_BPA10mg	0.619399041	up	DEG	Blood_adult
-1.614066067	down	Ctif	Bartolomei_BPA10mg	-1.177156199	down	DEG	Blood_adult
0.664949107	up	Ctnnbip1	Bartolomei_BPA10mg	0.622475096	up	DEG	Blood_adult
0.864066253	up	Cwf19l2	Bartolomei_BPA10mg	0.7085791	up	DEG	Blood_adult
-0.663255845	down	Cyb5d1	Bartolomei_BPA10mg	-0.656315893	down	DEG	Blood_adult
-2.311955547	down	D030025P21Rik	Bartolomei_BPA10mg	-1.561764766	down	DEG	Blood_adult
1.236721064	up	Dbi	Bartolomei_BPA10mg	0.700862257	up	DEG	Blood_adult
-2.015420804	down	Dennd2c	Bartolomei_BPA10mg	-0.831525028	down	DEG	Blood_adult
-1.288699627	down	Dennd4c	Bartolomei_BPA10mg	-0.602683867	down	DEG	Blood_adult
0.697565594	up	Dhdh	Bartolomei_BPA10mg	0.783934976	up	DEG	Blood_adult
0.683901392	up	Dnajc25	Bartolomei_BPA10mg	0.633893859	up	DEG	Blood_adult
0.988314199	up	Dnase1l3	Bartolomei_BPA10mg	0.649596606	up	DEG	Blood_adult
0.613999977	up	Dtd2	Bartolomei_BPA10mg	0.708421251	up	DEG	Blood_adult
-0.592761226	down	Dynlt1c	Bartolomei_BPA10mg	-0.747927733	down	DEG	Blood_adult
0.852264285	up	Ebpl	Bartolomei_BPA10mg	0.962577706	up	DEG	Blood_adult
0.626976841	up	Eef1b2	Bartolomei_BPA10mg	0.846027903	up	DEG	Blood_adult
0.753550726	up	Eif2s2	Bartolomei_BPA10mg	1.052794371	up	DEG	Blood_adult
0.801199658	up	Eif5b	Bartolomei_BPA10mg	1.050677609	up	DEG	Blood_adult
1.054705652	up	Emp3	Bartolomei_BPA10mg	0.619295119	up	DEG	Blood_adult
-0.901262963	down	Enpp4	Bartolomei_BPA10mg	0.654681774	up	DEG	Blood_adult
0.665733391	up	Esf1	Bartolomei_BPA10mg	1.077105915	up	DEG	Blood_adult
-1.751826969	down	Fam131b	Bartolomei_BPA10mg	-1.366555099	down	DEG	Blood_adult
0.741028532	up	Fam133b	Bartolomei_BPA10mg	0.724128133	up	DEG	Blood_adult
-1.637080831	down	Fam13b	Bartolomei_BPA10mg	-0.834241482	down	DEG	Blood_adult
0.757130532	up	Fcf1	Bartolomei_BPA10mg	0.652508712	up	DEG	Blood_adult
-0.796922603	down	Fcgr4	Bartolomei_BPA10mg	0.593733329	up	DEG	Blood_adult
-0.688367423	down	Fen1	Bartolomei_BPA10mg	-0.71083482	down	DEG	Blood_adult
-1.474250694	down	Fgg	Bartolomei_BPA10mg	0.984180125	up	DEG	Blood_adult
1.108855968	up	Fkbp2	Bartolomei_BPA10mg	0.812172105	up	DEG	Blood_adult
-1.565836153	down	Frmd5	Bartolomei_BPA10mg	-0.956087373	down	DEG	Blood_adult
-1.164968964	down	Fyco1	Bartolomei_BPA10mg	-0.645131328	down	DEG	Blood_adult
-1.72673331	down	Gad1-ps	Bartolomei_BPA10mg	-0.838772612	down	DEG	Blood_adult
-1.440237173	down	Galnt2	Bartolomei_BPA10mg	-1.118840827	down	DEG	Blood_adult
-1.889415273	down	Gata2	Bartolomei_BPA10mg	-0.605581233	down	DEG	Blood_adult
0.959650288	up	Gcsh	Bartolomei_BPA10mg	0.636067843	up	DEG	Blood_adult
0.712735021	up	Ghdc	Bartolomei_BPA10mg	0.585820157	up	DEG	Blood_adult
1.01372999	up	Gm10073	Bartolomei_BPA10mg	0.824252029	up	DEG	Blood_adult
0.632352971	up	Gm10275	Bartolomei_BPA10mg	0.652904314	up	DEG	Blood_adult
1.53632636	up	Gm10443	Bartolomei_BPA10mg	1.087786848	up	DEG	Blood_adult
-1.09302901	down	Gm10521	Bartolomei_BPA10mg	-0.636740025	down	DEG	Blood_adult
1.18094625	up	Gm11361	Bartolomei_BPA10mg	0.961804004	up	DEG	Blood_adult
0.910709967	up	Gm11478	Bartolomei_BPA10mg	1.169185439	up	DEG	Blood_adult
-1.302008421	down	Gm13509	Bartolomei_BPA10mg	-0.797582583	down	DEG	Blood_adult
1.105987032	up	Gm14586	Bartolomei_BPA10mg	0.884891892	up	DEG	Blood_adult
1.102360206	up	Gm15232	Bartolomei_BPA10mg	1.483760111	up	DEG	Blood_adult
0.593712232	up	Gm15427	Bartolomei_BPA10mg	0.603243032	up	DEG	Blood_adult
0.690192143	up	Gm15500	Bartolomei_BPA10mg	1.097314148	up	DEG	Blood_adult
1.241379633	up	Gm15912	Bartolomei_BPA10mg	-1.330052425	down	DEG	Blood_adult
-2.597133696	down	Gm17147	Bartolomei_BPA10mg	-1.398056682	down	DEG	Blood_adult
1.742363937	up	Gm2000	Bartolomei_BPA10mg	0.976175533	up	DEG	Blood_adult
-1.15231318	down	Gm28439	Bartolomei_BPA10mg	2.259140637	up	DEG	Blood_adult
-2.34544909	down	Gm33707	Bartolomei_BPA10mg	-1.333359649	down	DEG	Blood_adult
-2.128215061	down	Gm35041	Bartolomei_BPA10mg	-1.117752111	down	DEG	Blood_adult
-3.480489626	down	Gm37035	Bartolomei_BPA10mg	-1.191766264	down	DEG	Blood_adult
-1.389264507	down	Gm38158	Bartolomei_BPA10mg	-0.933267335	down	DEG	Blood_adult
-2.389248309	down	Gm42502	Bartolomei_BPA10mg	-1.161694987	down	DEG	Blood_adult
0.759199197	up	Gm4332	Bartolomei_BPA10mg	1.301736913	up	DEG	Blood_adult
-2.436092437	down	Gm43661	Bartolomei_BPA10mg	-0.782566003	down	DEG	Blood_adult
-1.013970995	down	Gm43672	Bartolomei_BPA10mg	-0.756867139	down	DEG	Blood_adult
1.926516312	up	Gm43813	Bartolomei_BPA10mg	1.142584377	up	DEG	Blood_adult
1.019442955	up	Gm43848	Bartolomei_BPA10mg	0.824465522	up	DEG	Blood_adult
-2.00192621	down	Gm44698	Bartolomei_BPA10mg	-1.084251444	down	DEG	Blood_adult
