As_blood	As_liver	DEHP_blood	DEHP_liver	Lead_blood	Lead_liver	LOW_blood	LOW_liver	PM25_blood	PM25_liver	TBT_blood	TBT_liver	TCDD_blood	TCDD_liver	UP_blood	UP_liver	Type
chrX,169987200,169987400	0.161536722	0.246950522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	As
chr13,4942600,4943200	0	0	0.602622498	0.651254713	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr4,134160200,134160400	0	0	0.219161385	0.104457643	0	0	0	0	0.102023643	0	0	0	-0.122694831	-0.123527082	0	0	DEHP
chr12,80168400,80168600	0	0	-0.107313747	0.157169814	0	0	-0.101104414	0	0	0	0	0	0	0	-0.101539838	0	DEHP
chr7,4478000,4478400	0	0	-0.286672058	-0.125107695	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr5,128507200,128507400	0	0	-0.118108459	-0.129347089	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr7,39655600,39655800	0	0	-0.123948978	-0.127244914	0	0	0	0	0	0	0	0	0	0	0	0	DEHP
chr10,94341600,94341800	0	0	0	-0.201391083	-0.122507556	-0.153769871	0	0	0	0	0	0	0	0	0	0	Lead
chr3,106003800,106004000	0	0	0	0	0.108326788	0.103941753	0	0	0	0	0	0	0	0	0	0	Lead
chr19,24498600,24498800	0	0	0	0	0.109642111	0.136271222	0	0	0	0	0	0	0	0	0	0	Lead
chr7,10303200,10303400	0	0	0	0	0.134798375	0.132282875	0	0	0	0	0	0	0	0	0	0	Lead
chrX,169986800,169987400	0	0	0	0	0	0	0.482959909	0.107765574	-0.422736834	-0.317758208	0	0	0	0	0	0	LOW
chr2,174327600,174327800	0	0	0	0	0	0	0.179955744	-0.263474928	0	0	0	0	0	0	0	0	LOW
chr6,144687800,144688000	0	0	-0.118562705	0	0	0	0.133318821	-0.108814693	0	0	0	0	0	0	0	0	LOW
chr1,160351800,160352000	0	0	0	0	0	0	0.143287588	-0.136880684	0	0	0	0	0	0	0	0	LOW
chr18,54952000,54952200	0	0	0	0	0	0	0.145590626	-0.126968875	0	0	0	0	0	0	0	0	LOW
chr6,31803400,31803600	0	0	0	0	0	0	-0.27171394	-0.327375224	0	0	0	0	0	0	0	0	LOW
chr11,12026200,12026400	0	0	0	0.103903126	0	0	-0.124692023	-0.234424447	-0.117724723	0	0	0	0	0	0	0	LOW
chr11,113173400,113173600	0	0	0	0	0	0	-0.130476537	-0.110270668	0	0	0	0	0	0	0	0	LOW
chr4,137723600,137723800	0	0	0	0	0	0	-0.110529967	-0.102474794	0	0	0	0	0	0	0	0	LOW
chr5,99398000,99398200	0	0	0	0	0	0	0	0	0.115466865	-0.108644081	0	0	0	0	0.166520156	0	PM25
chr11,108268000,108268200	0	0	0	0	0	0	0	0	0.11203124	-0.117856049	0	0	0	0	0	0	PM25
