AL_TCDD_Bl_adt_M_logFC	AL_TCDD_Li_adt_M_logFC	BA_BPA10mg_Bl_adt_M_logFC	BA_BPA10mg_Li_adt_M_logFC	BA_BPA10ug_Bl_adt_M_logFC	BA_BPA10ug_Li_adt_M_logFC	BI_PM2.5_Bl_adt_M_logFC	BI_PM2.5_Li_adt_M_logFC	DO_DEHP_Bl_adt_M_logFC	DO_DEHP_Li_adt_M_logFC	DO_Pb_Bl_adt_M_logFC	DO_Pb_Li_adt_M_logFC	MU_PM2.5_Bl_adt_M_logFC	MU_PM2.5_Li_adt_M_logFC	WK_TBT_Bl_adt_M_logFC	WK_TBT_Li_adt_M_logFC
chrY,90761207,90761575	1.19695399519273	1.327951979853	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chrX,169972842,169973571	0.84856988080039	0.954981726032767	0	0	0	0	0	-0.811975160988077	0	0	0	0	0	0	0	0
chrY,90808747,90808944	0.588166522855005	0.675521030061261	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr19,16084108,16084630	0	0	-1.48348818772228	-0.989501501026478	0	-0.939587388398638	-0.899438681081074	0	0	0	0	0	0	0	0	0
chr3,109254974,109255351	0	0	-1.32699607672068	-0.958645914073295	0	-0.765585149528053	0	0	0	0	0	0	0	0	0	0
chr11,110165886,110166307	0	0	-0.924633659573744	-0.737332112944263	0	-0.811036274696885	0	0	0	0	0	0	0	0	0	0
chr7,100431159,100431453	0	0	-0.981990280281727	-0.923704863876707	0	-0.752558555486863	0	0	0	0	0	0	0	0	0	0
chr4,142081777,142082044	0	0	-1.19015257806533	-0.642580762385324	0	-0.604038282886092	0	0	0	0	0	0	0	0	0	0
chr8,75086097,75086372	0	0	-0.999663470032704	-0.825861819648279	0	-0.867289943356786	0	0	0	0	0	0	0	0	0	0
chr3,105046830,105047267	0	0	-1.09966655065986	-0.796882899204693	-0.676453526736703	-0.765163129208753	-0.81343159702665	0	0	0	0	0	0	0	0	0
chr4,100548006,100548262	0	0	-1.16117727764829	-0.761479773548061	-0.867401012025339	0	0	0	0	0	0	0	0	0	0	0
chr13,112365873,112366125	0	0	-0.931992418163517	-1.03208582717853	-0.79604933742207	-0.738308880205587	0	0	0	0	0	0	0	0	0	0
chr2,145821994,145822346	0	0	-1.18227523839648	-0.743192157708255	-0.874015662627607	-0.792348784747217	0	0	0	0	0	0	0	0	0	0
chr3,149464647,149465006	0	0	-0.610021389839088	-0.727618702299302	0	-1.32573221833484	-1.03141218233201	0	0	0	0	0	0	0	0	0
chr11,63046450,63046792	0	0	-0.965585246164849	-1.04903111861012	0	-0.819759995899396	-0.813147506888583	0	0	0	0	0	0	0	0	0
chr17,23966996,23967464	0	0	-0.927719220690018	-0.728207685780307	0	-0.699901974415169	-0.586609345455263	0	0	0	0	0.601538195025611	0	0	0	0
chr5,53402770,53403146	0	0	-0.737596769924165	-0.704396833506656	-0.609813528882437	-0.968795638913423	-0.727275874163325	0	0	0	0	0	0	0	0	0
chr19,41321194,41321574	0	0	-0.811328012355029	-0.862183716856618	0	-0.675900187510599	-0.944616391744773	0	0	0	0	0	0	0	0	0
chr11,119377360,119377719	0	0	-0.803602173048784	-0.658029038034355	0	-0.794028765945806	-0.816645356603639	0	0	0	0	0	0	0	0	0
chr15,67116691,67117078	0	0	-0.773750332018605	-0.739015320372156	0	-0.622709032252588	-0.647646646286904	0	0	0	0	0	0	0	0	0
chr9,21715308,21715631	0	0	-0.838909410721904	-0.647422363333139	0	-0.696217031772388	-0.608338659970902	0	0	0	0	0	0	0	0	0
chr8,46792724,46792980	0	0	-0.728880254483848	-0.592310266494177	0	0	-0.907761214721764	0	0	0	0	0	0	0	0	0
