# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 50000 bp max extension, curated regulatory domains included
1700020N01Rik	unnamed (-47524)
A430105I19Rik	unnamed (-1082)
A4galt	unnamed (-41855)
Adamts14	unnamed (-12050), unnamed (-7848)
Adamts9	unnamed (-40062)
Adarb1	unnamed (+19948)
Adgrg3	unnamed (-17565)
Adm	unnamed (+43754)
Agtr1a	unnamed (+31790)
Ahnak	unnamed (+8499)
Akap7	unnamed (-14972)
Anapc7	unnamed (+18318)
Ankrd9	unnamed (-28833)
Anks1	unnamed (+28740)
Anxa9	unnamed (+308)
Aplnr	unnamed (+9666)
Apobec3	unnamed (-12878)
Arap3	unnamed (-1997)
Arf2	unnamed (-2643)
Arhgap18	unnamed (+27208)
Arhgdib	unnamed (+3021)
Arhgef3	unnamed (+4446)
Atp6v1c1	unnamed (+48528)
B3gntl1	unnamed (-12748)
Bbs12	unnamed (+1031)
Blk	unnamed (+46511)
Bsx	unnamed (-34325)
C1qtnf1	unnamed (-3699)
C1qtnf2	unnamed (+7538)
Camkk2	unnamed (+9993)
Capn5	unnamed (+6863)
Cbx6	unnamed (-6797)
Cd300e	unnamed (-9817)
Cd68	unnamed (-72)
Cd93	unnamed (-34907)
Cdc42	unnamed (-10170)
Cdc42se2	unnamed (-14501)
Cdr2l	unnamed (+2906)
Chst11	unnamed (-27004)
Chst15	unnamed (+37876)
Clip2	unnamed (+12309)
Cmklr1	unnamed (-22194)
Cntnap1	unnamed (+13825)
Coa4	unnamed (+10731)
Col16a1	unnamed (-2039)
Coro1c	unnamed (-21415), unnamed (+35630)
Cox4i1	unnamed (+33888)
Creb3l2	unnamed (+10580)
Crhr2	unnamed (+9739)
Cstad	unnamed (+45181)
Cyp46a1	unnamed (+36496)
Cyth4	unnamed (-5102)
Dagla	unnamed (+25038)
Dcbld1	unnamed (+39601)
Deup1	unnamed (+27129)
Dnal4	unnamed (+6773)
Dock1	unnamed (+3485)
Dock4	unnamed (+13170)
Dusp7	unnamed (-14671)
Dysf	unnamed (+39509)
E2f2	unnamed (+13157)
