AL_TCDD_Bl_adt_F_logFC	AL_TCDD_Li_adt_F_logFC	BA_BPA10mg_Bl_adt_F_logFC	BA_BPA10mg_Li_adt_F_logFC	BA_BPA10ug_Bl_adt_F_logFC	BA_BPA10ug_Li_adt_F_logFC	BI_PM2.5_Bl_adt_F_logFC	BI_PM2.5_Li_adt_F_logFC	DO_DEHP_Bl_adt_F_logFC	DO_DEHP_Li_adt_F_logFC	DO_Pb_Bl_adt_F_logFC	DO_Pb_Li_adt_F_logFC	MU_PM2.5_Bl_adt_F_logFC	MU_PM2.5_Li_adt_F_logFC	WK_TBT_Bl_adt_F_logFC	WK_TBT_Li_adt_F_logFC	Type
chr18,85697877,85698356	-0.823517579128611	-0.748691621204735	-0.764527176414214	0	-0.611353761801285	0	0	0	0	0	0	0	0.686369184145755	0	0	0	AL_TCDD_F_adt
chrY,90761207,90761575	1.59979600708723	1.01831923561219	0	0	0	0	0	0	0	0	0	0	0	-1.49556312284441	0	-1.20549333603243	AL_TCDD_F_adt
chr10,87552739,87552983	0	0	-0.60335622062225	-0.589830867772941	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr5,123259024,123259287	0	0	-0.932534865761666	-0.639788243658275	0	0	0	0	0	0	0	0	0.788582693222687	0	0	0	BA_BPA10mg_F_adt
chr1,78525278,78525498	0	0	-0.728625156237186	-0.657390411278475	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr3,126402913,126403158	0	0	-0.875613962030684	-0.629035450392374	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr1,193449417,193449923	0	0	-0.722480184052427	0.641652952282852	-1.21590294222349	0.648108357478559	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr9,43984463,43984970	0	0	-1.23310967557528	0.77045905095083	-0.605339463759086	0	0	0	0	0	0	0	0	-0.597088281632747	0	0	BA_BPA10mg_F_adt
chr9,92541951,92542893	0	0	-0.768840232950216	0.586940830697797	-0.661997980076689	0	0	0	0	0	0	0	0.751965329348058	0	0	0	BA_BPA10mg_F_adt
chr13,106760162,106760984	0	0	-0.597065773027792	0.653813508475358	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr17,87513716,87514202	0	0	-0.660261310464657	0.595856460251219	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr17,34392172,34392706	0	0	-0.671948184182141	0.623697733938569	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr2,84888743,84888940	0	0	-0.698572420594939	0.588805253593913	0	0	0	0	0	0	0	0	0.761238195014825	0	0	0	BA_BPA10mg_F_adt
chr2,118659982,118660376	0	0	-0.818487067796406	0.865814290834089	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr5,136428309,136428838	0	0	-0.633935325479594	0.660318692968598	0	0.663969310857417	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr10,118064790,118065236	0	0	-0.585325266136368	0.792888874487027	-1.17254692615095	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr3,144401012,144401591	0	0	-0.618321539878055	0.595736919112302	-0.676406224656366	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr8,14911038,14911946	0	0	-0.822074108482962	0.622537515317062	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr6,54158479,54158675	0	0	-0.798472643416291	0.592806079262009	0	0.618765832251013	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr5,134539952,134540297	0	0	-0.701338665091979	0.596585504353049	-0.625750163408985	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr6,115792221,115792605	0	0	-0.752841576281665	0.855666422237217	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr3,83885127,83885539	0.633072648954427	0	0.72625491963923	0.738451817304925	0	0	0	0	0	0	0	0	-1.44812392814649	0	0	0	BA_BPA10mg_F_adt
chr1,191269554,191269951	0	0	0.80222681703902	0.643245991328332	0.649813657212878	0	0	0	0	0	0	0	-1.48885550226003	0	0	0	BA_BPA10mg_F_adt
chr7,16257874,16258154	0	0	1.05797334333515	0.731977278301504	0.644799015326671	0	0	0	0	0	0	0	-1.61295945142797	0	0	0	BA_BPA10mg_F_adt
chr3,9020246,9020696	0	0	0.9911911769009	0.619110302247782	0	0	0	0	0	0	0	0	-1.54455571906627	0	0	0	BA_BPA10mg_F_adt
chr5,149274833,149275133	0	0	1.00678893166826	0.607053993342037	0.593175804742868	0	0	0	0	0	0	0	-1.2659994749669	0	0.595117270667355	0	BA_BPA10mg_F_adt
chr10,82958229,82958759	0	0	1.08002173539526	1.07353521810659	0	0.69117672254502	0	0	0	0	0	0	-1.16247042047355	0	0	0	BA_BPA10mg_F_adt
chr17,87405601,87405964	0	0	1.09121217742576	0.911387265105585	0.713790737004642	0.593967591579667	0	0	0	0	0	0	-1.15432493712123	0	0	0	BA_BPA10mg_F_adt
chr16,87625108,87625672	0	0	0.756624107360941	0.723746471736467	0.653631204495059	0	0	0	0	0	0	0	-1.22278032025986	0	0	0	BA_BPA10mg_F_adt
chr19,60946684,60947061	0	0	0.679631767867471	0.608894677800416	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr3,8969616,8969877	0	0	0.773715051285663	0.628568905070186	0	0	0	0	0	0	0	0	-0.977756906010231	0	0	0	BA_BPA10mg_F_adt
chr11,69666021,69666428	0	0	0.652099248316375	0.625489937550845	0	0	0	0	0	0	0	0	-1.17937696901255	0	0	0	BA_BPA10mg_F_adt
chr11,70446779,70447007	0	0	0.743570720481812	0.608604980279179	0	0	0	0	0	0	0	0	-0.980099654260402	0	0	0	BA_BPA10mg_F_adt
chr19,9931117,9931654	0	0	1.23598441601165	0.620645164583017	0	0	0	0	0	0	0	0	-1.20768245700417	0	0	0	BA_BPA10mg_F_adt
chr19,21127356,21127790	0	0	1.0681698262897	0.601386800083341	0	0	0	0	0	0	0	0	-0.810014441450943	0	0	0	BA_BPA10mg_F_adt
chr2,75763247,75763677	0	0	0.969475144997792	0.629975815414462	0	0	0	0	0	0	0	0	-1.09042036031903	0	0	0	BA_BPA10mg_F_adt
chr5,124059581,124060040	0	0	0.912712390315614	0.668240977437839	0	0	0	0	0	0	0	0	-0.946369886358343	0	0.596732384298619	0	BA_BPA10mg_F_adt
chr7,31031817,31032175	0	0	0.906137458581593	0.690463999265121	0	0	0	0	0	0	0	0	-1.20864220757893	0	0	0	BA_BPA10mg_F_adt
chr8,35400424,35400754	0	0	0.744010901554159	0.628374005531141	0	0	0	0	0	0	0	0	-0.880101186960451	0	0	0	BA_BPA10mg_F_adt
chr17,84126220,84126511	0	0	0.84813549327723	0.697702799618338	0	0	0	0	0	0	0	0	-1.06890966680108	0	0.742412523053389	0	BA_BPA10mg_F_adt
chr15,101372022,101372316	0	0	1.08929607630617	0.917822434735579	0	0	0	0	0	0	0	0	-1.34494700147313	0	0	0	BA_BPA10mg_F_adt
chr3,90668878,90669325	0	0	1.19303944431057	0.654580291321333	0	0	0	0	0	0	0	0	-1.23903785475505	0	0	0	BA_BPA10mg_F_adt
chr1,89235336,89235694	0	0	0.81721308171468	0.737576024305932	0	0	0	0	0	0	-0.590325985633901	0	-1.10317835358765	0	0	0	BA_BPA10mg_F_adt
chr9,109009678,109009984	0	0	0.665385814557108	0.894616638178174	0	0	0	0	0	0	0	0	-1.44369041518254	0	0	0	BA_BPA10mg_F_adt
chr11,68871794,68872137	0	0	1.00728421686618	0.600453720173402	0	0.609713060142451	0	0	0	0	0	0	-1.72667346313687	-0.591922915939125	0	0	BA_BPA10mg_F_adt
chr13,40968635,40969063	0	0	1.54861577118187	0.643947416044802	0	0	0	0	0	0	0	0	-1.64460696226739	0	0	0	BA_BPA10mg_F_adt
chr6,91488855,91489197	0	0	1.07645510827152	0.717132424166456	0	0	0	0	0	0	0	0	-1.63484236639431	0	0	0	BA_BPA10mg_F_adt
chr2,129413567,129413956	0	0	1.24931159272496	0.629634845755421	0	0	0	0	0	0	0	0	-1.69104290269216	0	0	0	BA_BPA10mg_F_adt
chr2,26474900,26475508	0	0	1.10702855045376	0.5977048852921	0	0	0	0	0	0	0	0	-1.43627118149968	0	0	0	BA_BPA10mg_F_adt
chr11,4232578,4233032	0	0	1.55357828396682	0.592801643535485	0.923562457456775	0	0	0	0	0	0	0	-1.66992671393189	0	0	0	BA_BPA10mg_F_adt
chr17,26533782,26534185	0	0	1.25780693945377	0.591146101775029	0.72978438057287	0	0	0	0	0	0	0	-1.85474576276037	0	0	-0.657652257880255	BA_BPA10mg_F_adt
chr19,40639712,40640275	0	0	1.54471160020253	0.645129283845101	0	0	0	0	0	0	0	0	-1.91123224903707	0	0	0	BA_BPA10mg_F_adt
chr7,43530306,43530779	0	0	1.52262231910254	0.615003467788638	0.630372573671677	0	0	0	0	0	0	0	-1.62076787057658	0	0	0	BA_BPA10mg_F_adt
chr2,168980875,168981237	0	0	0.614258240293629	0.673959457921451	0.805748609580059	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr17,81536185,81536507	0	0	0.602290077805072	0.626544435559073	0.636090857966755	0.643846866069579	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr3,69208747,69208971	0	0	0.821073276713658	0.589803376728924	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr6,125481764,125482320	0	0	0.670830119874975	0.624816926374289	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr13,107607296,107607779	0	0	0.639882341828806	0.700951104224347	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr13,93939331,93939760	0	0	0.676683534346398	0.753915952079547	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr19,32182104,32182443	0	0	0.709176029234434	0.589920829002483	0.729215656230227	0	0	0	0	0	0.6846860882303	0	0	0	0.638458057101709	0	BA_BPA10mg_F_adt
chr12,85532472,85533453	0	0	0.751652800425613	0.687783583240067	0.726788998612908	0	0	0	0	0	0	0	0	0	0.681992969653907	0	BA_BPA10mg_F_adt
chr17,88132603,88133322	0	0	0.722098026519085	0.597574266518251	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr5,138683014,138683385	0	0	0.890020651431148	0.609762847566831	0.818711256779561	0	0	0	0	0	0	0	-0.810505048893367	-0.706286038987276	0	0	BA_BPA10mg_F_adt
chr10,87675083,87675337	0	0	1.16982981016396	0.675573815901062	0.871996427129457	0.641817119029795	0	0	0	0	0	0	-0.704771134503492	-0.689055958512002	0.697371581751699	0	BA_BPA10mg_F_adt
chr8,117055182,117055487	0	0	0.91020708094497	0.692168764481299	0.794390681996292	0.846035613815132	0	0	0	0	0	0	-0.982062721789875	0	0	0	BA_BPA10mg_F_adt
chr12,85541161,85541550	0	0	0.697614376187109	0.701683148746659	0.904431604203833	0.601638659185586	0	0	0	0	0	0	0	-0.716192617901356	0	0	BA_BPA10mg_F_adt
chr8,82374536,82374818	0	0	0.645574741502804	0.661464821992531	1.06925452541787	0.72056610827209	0	0	0	0	0	0	-0.690782072757506	0	0	0	BA_BPA10mg_F_adt
chr11,73024399,73024886	0	0	0.706792404240145	0.611418909965392	0	0.615884856169766	0	0	0	0	0	0	-0.744791249401345	0	0	0	BA_BPA10mg_F_adt
chr1,180393054,180393386	0	0	0.62213304531363	0.607150116545226	0	0	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr10,20123432,20123720	0	0	0.700380428627194	0.643508987250271	0	0	0	0	0	0	0	0	-0.885220768803989	0	0	0	BA_BPA10mg_F_adt
chr11,59541354,59541670	0	0	0.7034726933364	0.663752970668751	0	0	0	0	0	0	0	0	-0.750324096934652	0	0	0	BA_BPA10mg_F_adt
chr1,184536361,184536984	0	0	0.709988014157419	0.854837254030311	0	0.595225548740172	0	0	0	0	0	0	0	0	0	0	BA_BPA10mg_F_adt
chr12,52307452,52308047	0	0	0.980008596322138	0.785199781743974	0	0	0	0	0	0	0	0	-0.767063179244528	0	0	0	BA_BPA10mg_F_adt
chr10,25447200,25447534	0	0	0	0	0.637316603098971	0.726881195293083	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr14,74841768,74842006	0	0	0	0	0.646404423036179	0.66746983587877	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr17,81536185,81536507.1	0	0	0.602290077805072	0.626544435559073	0.636090857966755	0.643846866069579	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr1,151620748,151621117	0	0	1.59762239670745	0	0.724325137514928	0.624823014760578	0	0	0	0	0	0	-0.98472932874931	0	0	0	BA_BPA10ug_F_adt
chr4,132617869,132618153	0	0	1.57105790218814	0	0.838256198498044	0.817029865472752	0	0	0	0	0	0	-1.32433748028346	0	0	0	BA_BPA10ug_F_adt
chr17,87405601,87405964.1	0	0	1.09121217742576	0.911387265105585	0.713790737004642	0.593967591579667	0	0	0	0	0	0	-1.15432493712123	0	0	0	BA_BPA10ug_F_adt
chr18,46474765,46475039	0	0	1.17868726610419	0	0.827157972658028	0.61606401192965	0	0	0	0	0	0	-1.66303423590754	0	0	0	BA_BPA10ug_F_adt
chr10,87675083,87675337.1	0	0	1.16982981016396	0.675573815901062	0.871996427129457	0.641817119029795	0	0	0	0	0	0	-0.704771134503492	-0.689055958512002	0.697371581751699	0	BA_BPA10ug_F_adt
chr8,82374536,82374818.1	0	0	0.645574741502804	0.661464821992531	1.06925452541787	0.72056610827209	0	0	0	0	0	0	-0.690782072757506	0	0	0	BA_BPA10ug_F_adt
chr4,8888364,8888697	0	0	0	0.658117801631825	0.840033554441667	0.652728883242188	0	0	0	0	0	0	-0.911864665836965	0	0	0	BA_BPA10ug_F_adt
chr8,117055182,117055487.1	0	0	0.91020708094497	0.692168764481299	0.794390681996292	0.846035613815132	0	0	0	0	0	0	-0.982062721789875	0	0	0	BA_BPA10ug_F_adt
chr11,85003559,85003861	0	0	0.912187155829138	0	0.660542028820048	0.587771480689742	0	0	0	0	0	0	-0.924969852627869	0	0	0	BA_BPA10ug_F_adt
chr7,35064746,35065158	0	0	0.923954345211898	0	0.732608507271535	0.615282494728825	0	0	0	0	0	0	0	0	0.865579995203497	0	BA_BPA10ug_F_adt
chr12,85541161,85541550.1	0	0	0.697614376187109	0.701683148746659	0.904431604203833	0.601638659185586	0	0	0	0	0	0	0	-0.716192617901356	0	0	BA_BPA10ug_F_adt
chr13,107838107,107838523	0	0	0	0	0.695121443867686	0.610780624197474	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr13,98997098,98997359	0	0	0.880839586779638	0	0.828546867267971	0.589277888243497	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr2,60076829,60077366	0	0	1.05353899281923	0	0.856178929921815	0.762724614402545	0	0	0	0	0	0	-0.73826288130984	0	0	0	BA_BPA10ug_F_adt
chr17,23433272,23433784	0	0	0	-0.665151439713461	-0.724728993657697	-1.04202366445643	0	0	0	0	0	0	0.840362925250139	0.610133342294395	0.762160306539688	0	BA_BPA10ug_F_adt
chr1,26685983,26686613	0	0	0	0	-0.591641836962286	-0.709797209062393	0	0	0	0	0	0	0.856825668439836	0.636915351619547	0	0	BA_BPA10ug_F_adt
chr8,73618984,73619304	0	0	-1.05143059874954	0	-0.901552414688483	-0.606943088271002	0	0	0	0	0	0	0.836472381341076	0	0	0	BA_BPA10ug_F_adt
chr1,193449417,193449923.1	0	0	-0.722480184052427	0.641652952282852	-1.21590294222349	0.648108357478559	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr9,95279756,95280340	0	0	0	0.675283360141652	-0.622360293842822	0.72943326019653	0	0	0	0	0	0	0	0	0	0	BA_BPA10ug_F_adt
chr2,60845374,60845657	0	0	0	0	-0.648353616478381	0.850115052067034	0	0	0	0	0	0	-0.85275942427017	0	0	0	BA_BPA10ug_F_adt
chr7,100961212,100961442	0	0	0	0	-0.770981445263421	0.686130516953703	0	0	0	0	0	0	0	0	0.616239251929306	0	BA_BPA10ug_F_adt
chr19,37375715,37376661	0	0	0	0	0	0	-0.649790213428466	-0.675023762497135	0	0	0	0	0	0	0	0	BI_PM2.5_F_adt
chr5,137179590,137180317	0	0	0.928687400660159	0	0	0	0	0	0	0	0	0	-0.735405758347604	0.622808643735415	0	0	MU_PM2.5_F_adt
chr8,46520746,46521001	0	0	0	0	0	0	0	0	0	0	0	0	-0.720291266809903	0.644091837082112	0	-0.690170875086297	MU_PM2.5_F_adt
chr10,95508801,95509145	0	0	-0.845679384564553	0	-0.666534290063318	0	0	0	0	0	0	0	-0.600841620287922	-0.822027184314437	0	0	MU_PM2.5_F_adt
chr17,84061683,84061979	0	0	0	0	-0.79212375444135	0	0	0	0	0	0	0	-1.06449561041872	-0.851533369806565	0	0	MU_PM2.5_F_adt
chr19,53824892,53825371	0	0	0	0	0	0	0	0	0	0	0	0	-0.670127707214189	-0.718206135862937	0	0	MU_PM2.5_F_adt
chr1,165682444,165682771	0	0	0	0	0	0	0	0	0	0	0	0	-0.604067773663571	-0.670270048521106	0	0	MU_PM2.5_F_adt
chr18,70622361,70622809	0	0	0	0	0	0	0	0	0	0	0	0	-0.702237900759052	-0.715616014959426	0	0	MU_PM2.5_F_adt
chr11,55154552,55155414	0	0	0	0	0	0	0	0	0	0	0	0	-0.819731052134908	-0.613882547433657	0	0	MU_PM2.5_F_adt
chr13,55478988,55479447	0	0	0	0	0	0	0	0	0	0	0	0	-0.626121757619945	-0.759375491046867	0	0	MU_PM2.5_F_adt
